,0
0,26958
1,26958
2,26958
3,26958
4,26958
5,26958
6,26958
7,26958
8,26958
9,26958
10,26958
11,26958
12,26958
13,26958
14,26958
15,26958
16,26958
17,26958
18,26958
19,26958
20,26958
21,26958
22,26958
23,26958
24,26958
25,26958
26,26958
27,26958
28,26958
29,26958
30,26958
31,26958
32,26958
33,26958
34,26958
35,26958
36,26958
37,26958
38,26958
39,26958
40,26958
41,26958
42,26958
43,26952
44,26945
45,26933
46,26911
47,26892
48,26868
49,26852
50,26839
51,26824
52,26820
53,26817
54,26810
55,26800
56,26786
57,26774
58,26751
59,26726
60,26714
61,26700
62,26690
63,26669
64,26657
65,26646
66,26620
67,26617
68,26603
69,26593
70,26588
71,26583
72,26569
73,26565
74,26548
75,26535
76,26526
77,26523
78,26502
79,26497
80,26486
81,26457
82,26441
83,26432
84,26408
85,26397
86,26376
87,26372
88,26366
89,26355
90,26343
91,26328
92,26318
93,26302
94,26284
95,26279
96,26271
97,26260
98,26239
99,26226
100,26206
101,26195
102,26176
103,26162
104,26145
105,26130
106,26124
107,26111
108,26101
109,26100
110,26089
111,25950
112,25920
113,25907
114,25897
115,25860
116,25853
117,25849
118,25832
119,25822
120,25813
121,25794
122,25788
123,25769
124,25744
125,25733
126,25727
127,25714
128,25696
129,25689
130,25681
131,25662
132,25654
133,25647
134,25623
135,25609
136,25601
137,25592
138,25581
139,25561
140,25538
141,25529
142,25519
143,25507
144,25499
145,25467
146,25444
147,25417
148,25399
149,25391
150,25322
151,25287
152,25266
153,25239
154,25217
155,25198
156,25171
157,25156
158,25137
159,25102
160,25061
161,25022
162,24976
163,24915
164,24885
165,24865
166,24856
167,24841
168,24834
169,24812
170,24796
171,24774
172,24657
173,24637
174,24598
175,24567
176,24554
177,24507
178,24481
179,24452
180,24433
181,24420
182,24394
183,24358
184,24335
185,24284
186,24213
187,24106
188,24068
189,24027
190,24017
191,23987
192,23962
193,23841
194,23748
195,23684
196,23663
197,23633
198,23610
199,23598
200,23583
201,23554
202,23473
203,23377
204,22971
205,22786
206,22600
207,22582
208,22568
209,22499
210,22354
211,22346
212,22203
213,22101
214,22010
215,21885
216,21617
217,21500
218,21021
219,20932
220,20908
221,20873
222,20812
223,20671
224,20498
225,20161
226,19752
227,19616
228,19349
229,19216
230,18731
231,18585
232,18136
233,18116
234,17435
235,17249
236,17046
237,16815
238,16550
239,16078
240,15955
241,15458
242,15328
243,15394
244,15438
245,15338
246,14843
247,10959
248,1372
249,550
250,557
251,585
252,681
253,730
254,752
255,777
256,784
257,838
258,887
259,1006
260,1045
261,1073
262,1086
263,1141
264,1183
265,1273
266,1330
267,1383
268,1389
269,1406
270,1442
271,1591
272,1638
273,1871
274,2103
275,2165
276,2177
277,2248
278,2388
279,2456
280,5327
281,5532
282,5831
283,5877
284,6314
285,6384
286,6482
287,6516
288,6552
289,6570
290,6603
291,6649
292,7499
293,7774
294,7844
295,7881
296,7938
297,8095
298,8203
299,8344
300,8403
301,8456
302,8564
303,8592
304,8720
305,8762
306,8804
307,9053
308,9086
309,9164
310,9252
311,9396
312,9781
313,10227
314,10645
315,10682
316,10771
317,10868
318,11224
319,11973
320,12913
321,13060
322,13367
323,13459
324,13621
325,13685
326,13764
327,13864
328,14007
329,14307
330,14370
331,14409
332,14470
333,14568
334,14769
335,14828
336,15158
337,15221
338,15359
339,15467
340,15516
341,15674
342,15727
343,16229
344,16386
345,16437
346,16592
347,16635
348,16744
349,16827
350,16901
351,16973
352,17044
353,17131
354,17447
355,17481
356,17499
357,17555
358,17583
359,17607
360,17696
361,17829
362,17900
363,17937
364,18012
365,18073
366,18231
367,18297
368,18448
369,18496
370,18528
371,18629
372,18702
373,18719
374,18770
375,18825
376,18950
377,19620
378,19685
379,20150
380,20163
381,20209
382,20230
383,20262
384,20292
385,20351
386,20400
387,20544
388,20553
389,20615
390,20651
391,20661
392,20787
393,20890
394,20901
395,20938
396,20950
397,20993
398,21781
399,21804
400,21847
401,21860
402,21917
403,21934
404,21946
405,21970
406,22003
407,22024
408,22083
409,22101
410,22126
411,22129
412,22134
413,22156
414,22162
415,22210
416,22235
417,22263
418,22291
419,22346
420,22387
421,22404
422,22414
423,22428
424,22433
425,22443
426,22469
427,22491
428,22505
429,22563
430,22581
431,22604
432,22645
433,22682
434,22754
435,22802
436,22857
437,22890
438,22909
439,22924
440,22985
441,23086
442,23132
443,23188
444,23494
445,23520
446,23520
447,23520
448,23520
449,23520
450,23520
451,23520
452,23520
453,23520
454,23520
455,23520
456,23520
457,23520
458,23520
459,23520
460,23520
461,23520
462,23520
463,23520
464,23520
465,23520
466,23520
467,23520
468,23520
469,23520
470,23520
471,23520
472,23520
473,23520
474,23520
475,23520
476,23520
477,23520
478,23520
479,23520
480,23520
481,23520
482,23520
483,23520
484,23520
485,23520
486,23520
487,23520
488,23520
