,0
0,40161
1,40161
2,40161
3,40161
4,40161
5,40161
6,40161
7,40161
8,40161
9,40161
10,40161
11,40161
12,40161
13,40161
14,40161
15,40161
16,40161
17,40161
18,40161
19,40161
20,40161
21,40161
22,40161
23,40161
24,40161
25,40161
26,40161
27,40161
28,40161
29,40161
30,40161
31,40161
32,40161
33,40161
34,40161
35,40161
36,40161
37,40161
38,40161
39,40161
40,40161
41,40161
42,40161
43,40137
44,40117
45,40093
46,40078
47,40050
48,40018
49,39989
50,39979
51,39952
52,39938
53,39921
54,39912
55,39901
56,39889
57,39852
58,39809
59,39765
60,39741
61,39722
62,39702
63,39682
64,39455
65,39445
66,39404
67,39395
68,39366
69,39346
70,39335
71,39328
72,39302
73,39287
74,39247
75,39203
76,39189
77,39182
78,39156
79,39138
80,39126
81,39077
82,39041
83,39011
84,38980
85,38945
86,38830
87,38816
88,38802
89,38788
90,38770
91,38751
92,38734
93,38707
94,38676
95,38660
96,38639
97,38617
98,38576
99,38560
100,38522
101,38506
102,38466
103,38450
104,38429
105,38398
106,38386
107,38362
108,38350
109,38337
110,38323
111,38080
112,38036
113,38008
114,37959
115,37907
116,37884
117,37867
118,37842
119,37829
120,37810
121,37768
122,37762
123,37732
124,37696
125,37676
126,37661
127,37642
128,37606
129,37585
130,37567
131,37537
132,37520
133,37509
134,37482
135,37453
136,37434
137,37424
138,37412
139,37377
140,37322
141,37308
142,37287
143,37272
144,37264
145,37211
146,37191
147,37156
148,37125
149,37109
150,37031
151,36926
152,36872
153,36830
154,36789
155,36753
156,36714
157,36675
158,36630
159,36581
160,36524
161,36444
162,36379
163,36311
164,36255
165,36218
166,36199
167,36167
168,36145
169,36126
170,36109
171,36058
172,35829
173,35787
174,35739
175,35687
176,35657
177,35582
178,35560
179,35502
180,35477
181,35465
182,35429
183,35388
184,35329
185,35267
186,35163
187,34980
188,34917
189,34856
190,34820
191,34778
192,34722
193,34552
194,34398
195,34316
196,34281
197,34221
198,34203
199,34182
200,34150
201,34108
202,33995
203,33831
204,33269
205,33010
206,32752
207,32716
208,32687
209,32616
210,32414
211,32400
212,32154
213,31971
214,31837
215,31646
216,31164
217,30942
218,30063
219,29952
220,29908
221,29864
222,29778
223,29544
224,29236
225,28671
226,28066
227,27825
228,27377
229,27127
230,26155
231,25793
232,24770
233,24729
234,23747
235,23517
236,23160
237,22784
238,22322
239,21655
240,21510
241,20747
242,20488
243,20601
244,20746
245,20649
246,20292
247,13003
248,976
249,778
250,822
251,871
252,1025
253,1112
254,1171
255,1212
256,1243
257,1315
258,1372
259,1532
260,1585
261,1639
262,1680
263,1765
264,1830
265,1990
266,2098
267,2187
268,2196
269,2226
270,2283
271,2488
272,2563
273,3002
274,3296
275,3401
276,3422
277,3549
278,3785
279,3911
280,8173
281,8489
282,8891
283,8959
284,9646
285,9741
286,9897
287,9935
288,9951
289,9983
290,10051
291,10123
292,11317
293,11686
294,11776
295,11812
296,11908
297,12121
298,12200
299,12413
300,12473
301,12526
302,12631
303,12694
304,12878
305,12926
306,12994
307,13324
308,13357
309,13446
310,13578
311,13783
312,14343
313,14904
314,15545
315,15583
316,15680
317,15795
318,16244
319,17442
320,18800
321,18994
322,19426
323,19560
324,19821
325,19912
326,20023
327,20153
328,20326
329,20828
330,20896
331,20946
332,21043
333,21177
334,21432
335,21502
336,21964
337,22051
338,22283
339,22441
340,22507
341,22658
342,22740
343,23558
344,23751
345,23830
346,24032
347,24076
348,24186
349,24303
350,24418
351,24523
352,24712
353,24855
354,25274
355,25306
356,25328
357,25391
358,25425
359,25444
360,25539
361,25759
362,25862
363,25915
364,26073
365,26124
366,26309
367,26415
368,26636
369,26726
370,26749
371,26896
372,26995
373,27019
374,27092
375,27159
376,27351
377,28071
378,28152
379,28881
380,28904
381,28979
382,29003
383,29051
384,29103
385,29178
386,29223
387,29436
388,29448
389,29529
390,29600
391,29609
392,29828
393,29972
394,29983
395,30051
396,30083
397,30131
398,31218
399,31250
400,31325
401,31342
402,31424
403,31441
404,31451
405,31476
406,31537
407,31564
408,31625
409,31638
410,31672
411,31681
412,31683
413,31705
414,31718
415,31799
416,31825
417,32031
418,32121
419,32218
420,32277
421,32316
422,32413
423,32458
424,32472
425,32483
426,32521
427,32557
428,32579
429,32642
430,32673
431,32721
432,32768
433,32811
434,32839
435,32923
436,33001
437,33043
438,33073
439,33099
440,33202
441,33351
442,33417
443,33524
444,33689
445,33709
446,33709
447,33709
448,33709
449,33709
450,33709
451,33709
452,33709
453,33709
454,33709
455,33709
456,33709
457,33709
458,33709
459,33709
460,33709
461,33709
462,33709
463,33709
464,33709
465,33709
466,33709
467,33709
468,33709
469,33709
470,33709
471,33709
472,33709
473,33709
474,33709
475,33709
476,33709
477,33709
478,33709
479,33709
480,33709
481,33709
482,33709
483,33709
484,33709
485,33709
486,33709
487,33709
488,33709
