,0
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,2
8,1
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,2
23,0
24,1
25,3
26,1
27,5
28,4
29,1
30,4
31,1
32,3
33,6
34,4
35,3
36,9
37,3
38,3
39,12
40,8
41,9
42,13
43,12
44,16
45,1
46,2
47,4
48,2
49,7
50,3
51,12
52,4
53,7
54,8
55,6
56,2
57,8
58,2
59,5
60,2
61,8
62,3
63,4
64,4
65,5
66,4
67,6
68,5
69,12
70,35
71,6
72,3
73,3
74,10
75,12
76,1
77,14
78,2
79,3
80,3
81,8
82,7
83,9
84,5
85,4
86,9
87,9
88,2
89,9
90,3
91,5
92,8
93,0
94,3
95,6
96,5
97,7
98,13
99,6
100,12
101,3
102,12
103,0
104,1
105,3
106,5
107,6
108,9
109,1
110,3
111,6
112,0
113,13
114,3
115,8
116,0
117,5
118,8
119,1
120,1
121,1
122,2
123,6
124,3
125,2
126,2
127,4
128,3
129,8
130,5
131,5
132,4
133,2
134,3
135,3
136,2
137,5
138,3
139,3
140,3
141,3
142,2
143,2
144,3
145,1
146,6
147,4
148,3
149,0
150,1
151,8
152,3
153,3
154,4
155,3
156,4
157,0
158,4
159,1
160,2
161,4
162,5
163,8
164,1
165,2
166,7
167,4
168,6
169,11
170,3
171,6
172,8
173,10
174,3
175,3
176,2
177,7
178,3
179,9
180,11
181,4
182,4
183,2
184,4
185,7
186,3
187,3
188,4
189,2
190,0
191,4
192,1
193,4
194,2
195,7
196,4
197,11
198,0
199,1
200,2
201,6
202,2
203,8
204,6
205,8
206,5
207,12
208,0
209,5
210,2
211,4
212,4
213,4
214,8
215,4
216,7
217,5
218,5
219,6
220,8
221,9
222,4
223,5
224,4
225,5
226,1
227,3
228,17
229,4
230,3
231,4
232,6
233,12
234,5
235,4
236,3
237,6
238,4
239,4
240,6
241,2
242,9
243,2
244,2
245,6
246,2
247,4
248,3
249,9
250,1
251,2
252,5
253,8
254,1
255,4
256,2
257,3
258,1
259,4
260,2
261,1
262,0
263,3
264,6
265,3
266,4
267,1
268,2
269,0
270,3
271,3
272,2
273,6
274,2
275,3
276,5
277,1
278,4
279,6
280,1
281,3
282,9
283,4
284,5
285,2
286,1
287,2
288,5
289,0
290,3
291,3
292,2
293,3
294,3
295,1
296,22
297,6
298,5
299,4
300,1
301,1
302,4
303,6
304,2
305,2
306,2
307,2
308,0
309,5
310,0
311,4
312,0
313,0
314,4
315,0
316,0
317,0
318,2
319,3
320,4
321,2
322,1
323,4
324,6
325,3
326,1
327,4
328,0
329,4
330,3
331,3
332,9
333,3
334,0
335,1
336,8
337,2
338,6
339,5
340,5
341,5
342,9
343,2
344,5
345,0
346,0
347,1
348,8
349,5
350,3
351,4
352,2
353,14
354,3
355,14
356,6
357,10
358,4
359,13
360,2
361,3
362,7
363,8
364,9
365,6
366,9
367,3
368,6
369,7
370,4
371,3
372,5
373,11
374,4
375,8
376,12
377,3
378,8
379,6
380,4
381,9
382,9
383,5
384,8
385,7
386,3
387,5
388,4
389,8
390,5
391,5
392,4
393,9
394,2
395,3
396,6
397,3
398,3
399,3
400,5
401,5
402,5
403,2
404,7
405,4
406,2
407,1
408,3
409,3
410,1
411,4
412,5
413,4
414,1
415,5
416,2
417,4
418,7
419,6
420,2
421,2
422,8
423,3
424,1
425,2
426,3
427,1
428,4
429,2
430,2
431,3
432,12
433,1
434,0
435,0
436,4
437,0
438,2
439,2
440,2
441,2
442,1
443,4
444,0
445,8
446,1
447,1
448,0
449,1
450,3
451,1
452,2
453,6
454,6
455,3
456,4
457,3
458,4
459,8
460,5
461,11
462,2
463,7
464,2
465,5
466,3
467,3
468,6
469,3
470,5
471,2
472,4
473,5
474,0
475,1
476,2
477,5
478,2
479,2
480,1
481,1
482,1
483,0
484,0
485,0
486,1
487,2
488,3
489,5
490,4
491,1
492,0
493,0
494,0
495,3
496,0
497,0
498,0
499,0
500,0
501,0
502,1
503,0
504,3
505,0
506,1
507,0
508,0
509,0
510,0
511,0
512,0
